shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
S1A,51.34856,16.85474,179
S1A,51.34873,16.85538,180
S1A,51.34878,16.85561,181
S1A,51.34885,16.85581,182
S1A,51.34888,16.85589,183
S1A,51.34897,16.85603,184
S1A,51.34906,16.85614,185
S1A,51.34931,16.85643,186
S1A,51.34968,16.85682,187
S1A,51.3499,16.85704,188
S1A,51.35033,16.85751,189
S1A,51.35045,16.85764,190
S1A,51.35076,16.85796,191
S1A,51.35088,16.85813,192
S1A,51.35098,16.85828,193
S1A,51.35113,16.85854,194
S1A,51.3513,16.85885,195
S1A,51.35134,16.85891,196
S1A,51.35149,16.85914,197
S1A,51.35174,16.85951,198
S1A,51.35175,16.85952,199
S1A,51.35186,16.8597,200
S1A,51.3519,16.85979,201
S1A,51.35192,16.85985,202
S1A,51.35195,16.85992,203
S1A,51.35201,16.86008,204
S1A,51.35207,16.86027,205
S1A,51.35213,16.86054,206
S1A,51.35217,16.86071,207
S1A,51.35218,16.86082,208
S1A,51.35221,16.86099,209
S1A,51.35224,16.86116,210
S1A,51.35228,16.86137,211
S1A,51.35235,16.86164,212
S1A,51.35239,16.86181,213
S1A,51.35245,16.862,214
S1A,51.3525,16.86217,215
S1A,51.35254,16.86228,216
S1A,51.35267,16.8626,217
S1A,51.35278,16.8629,218
S1A,51.35285,16.8631,219
S1A,51.35302,16.86358,220
S1A,51.35303,16.8636,221
S1A,51.35307,16.86374,222
S1A,51.35311,16.86383,223
S1A,51.3532,16.86408,224
S1A,51.35324,16.86417,225
S1A,51.35339,16.86455,226
S1A,51.35346,16.86473,227
S1A,51.35351,16.86484,228
S1A,51.35353,16.86487,229
S1A,51.3536,16.86502,230
S1A,51.3537,16.86526,231
S1A,51.35387,16.86562,232
S1A,51.35392,16.86572,233
S1A,51.35402,16.86595,234
S1A,51.35422,16.86636,235
S1A,51.35425,16.86643,236
S1A,51.35432,16.86658,237
S1A,51.35433,16.8666,238
S1A,51.3544,16.86675,239
S1A,51.35447,16.86686,240
S1A,51.35452,16.86693,241
S1A,51.35456,16.86698,242
S1A,51.35462,16.86702,243
S1A,51.35464,16.86703,244
S1A,51.35471,16.86706,245
S1A,51.35479,16.86707,246
S1A,51.35487,16.86707,247
S1A,51.35511,16.86702,248
S1A,51.35559,16.86691,249
S1A,51.35511,16.86702,250
S1A,51.35487,16.86707,251
S1A,51.35479,16.86707,252
S1A,51.35471,16.86706,253
S1A,51.35464,16.86703,254
S1A,51.35462,16.86702,255
S1A,51.35456,16.86698,256
S1A,51.35452,16.86693,257
S1A,51.35447,16.86686,258
S1A,51.3544,16.86675,259
S1A,51.35433,16.8666,260
S1A,51.35432,16.86658,261
S1A,51.35425,16.86643,262
S1A,51.35422,16.86636,263
S1A,51.35402,16.86595,264
S1A,51.35392,16.86572,265
S1A,51.35387,16.86562,266
S1A,51.3537,16.86526,267
S1A,51.3536,16.86502,268
S1A,51.35353,16.86487,269
S1A,51.35351,16.86484,270
S1A,51.35346,16.86473,271
S1A,51.35339,16.86455,272
S1A,51.35324,16.86417,273
S1A,51.3532,16.86408,274
S1A,51.35311,16.86383,275
S1A,51.35307,16.86374,276
S1A,51.35303,16.8636,277
S1A,51.35302,16.86358,278
S1A,51.35285,16.8631,279
S1A,51.35278,16.8629,280
S1A,51.35267,16.8626,281
S1A,51.35254,16.86228,282
S1A,51.3525,16.86217,283
S1A,51.35245,16.862,284
S1A,51.35239,16.86181,285
S1A,51.35235,16.86164,286
S1A,51.35228,16.86137,287
S1A,51.35224,16.86116,288
S1A,51.35221,16.86099,289
S1A,51.35218,16.86082,290
S1A,51.35217,16.86071,291
S1A,51.35213,16.86054,292
S1A,51.35207,16.86027,293
S1A,51.35201,16.86008,294
S1A,51.35195,16.85992,295
S1A,51.35192,16.85985,296
S1A,51.3519,16.85979,297
S1A,51.35186,16.8597,298
S1A,51.35175,16.85952,299
S1A,51.35174,16.85951,300
S1A,51.35149,16.85914,301
S1A,51.35134,16.85891,302
S1A,51.3513,16.85885,303
S1A,51.35113,16.85854,304
S1A,51.35098,16.85828,305
S1A,51.35088,16.85813,306
S1A,51.35076,16.85796,307
S1A,51.35045,16.85764,308
S1A,51.35033,16.85751,309
S1A,51.3499,16.85704,310
S1A,51.34968,16.85682,311
S1A,51.34931,16.85643,312
S1A,51.34906,16.85614,313
S1A,51.34897,16.85603,314
S1A,51.34888,16.85589,315
S1A,51.3487,16.8558,316
S1A,51.34866,16.85579,317
S1A,51.34855,16.85575,318
S1A,51.3484,16.85569,319
S1A,51.34828,16.85566,320
S1A,51.34818,16.85564,321
S1A,51.34814,16.85563,322
S1A,51.34803,16.85561,323
S1A,51.34802,16.85561,324
S1A,51.34801,16.85561,325
S1A,51.34785,16.85559,326
S1A,51.34759,16.85557,327
S1A,51.34755,16.85558,328
S1A,51.34745,16.85558,329
S1A,51.34739,16.85558,330
S1A,51.34733,16.85559,331
S1A,51.3472,16.85561,332
S1A,51.3471,16.85563,333
S1A,51.34695,16.85567,334
S1A,51.34686,16.8557,335
S1A,51.34673,16.85574,336
S1A,51.34666,16.85577,337
S1A,51.34654,16.85584,338
S1A,51.34651,16.85586,339
S1A,51.34643,16.85592,340
S1A,51.34594,16.85623,341
S1A,51.3455,16.85648,342
S1A,51.34533,16.85658,343
S1A,51.3452,16.85665,344
S1A,51.34516,16.85668,345
S1A,51.34508,16.85673,346
S1A,51.34494,16.85683,347
S1A,51.34475,16.85695,348
S1A,51.34448,16.85711,349
S1A,51.34446,16.85712,350
S1A,51.34433,16.85719,351
S1A,51.34425,16.85724,352
S1A,51.34418,16.85729,353
S1A,51.34415,16.8573,354
S1A,51.34412,16.85732,355
S1A,51.34406,16.85736,356
S1A,51.34391,16.85746,357
S1A,51.34365,16.8576,358
S1A,51.34324,16.85784,359
S1A,51.34295,16.858,360
S1A,51.34263,16.85818,361
S1A,51.3421,16.85848,362
S1A,51.342,16.85854,363
S1A,51.34175,16.85868,364
S1A,51.34152,16.85882,365
S1A,51.34133,16.85893,366
S1A,51.34131,16.85894,367
S1A,51.34082,16.85921,368
S1A,51.3408,16.85922,369
S1A,51.34072,16.85926,370
S1A,51.34056,16.85936,371
S1A,51.34012,16.85962,372
S1A,51.33994,16.85972,373
S1A,51.33955,16.85995,374
S1A,51.33899,16.86029,375
S1A,51.33888,16.86036,376
S1A,51.33887,16.86036,377
S1A,51.33882,16.8604,378
S1A,51.33874,16.86043,379
S1A,51.33861,16.86048,380
S1A,51.3384,16.86054,381
S1A,51.33838,16.86055,382
S1A,51.33838,16.86097,383
S1A,51.33838,16.86102,384
S1A,51.33838,16.86117,385
S1A,51.33836,16.86138,386
S1A,51.33834,16.86162,387
S1A,51.33832,16.86172,388
S1A,51.33832,16.86173,389
S1A,51.33832,16.86175,390
S1A,51.33828,16.86201,391
S1A,51.33825,16.86215,392
S1A,51.33808,16.86298,393
S1A,51.33784,16.86407,394
S1A,51.33773,16.86454,395
S1A,51.33754,16.86534,396
S1A,51.33745,16.8657,397
S1A,51.33741,16.86581,398
S1A,51.33739,16.86585,399
S1A,51.33737,16.86587,400
S1A,51.33735,16.86589,401
S1A,51.33732,16.8659,402
S1A,51.33728,16.86591,403
S1A,51.33704,16.86602,404
S1A,51.33689,16.86611,405
S1B,51.33689,16.86611,0
S1B,51.33704,16.86602,1
S1B,51.33728,16.86591,2
S1B,51.33732,16.8659,3
S1B,51.33735,16.86589,4
S1B,51.33737,16.86587,5
S1B,51.33739,16.86585,6
S1B,51.33741,16.86581,7
S1B,51.33745,16.8657,8
S1B,51.33754,16.86534,9
S1B,51.33773,16.86454,10
S1B,51.33784,16.86407,11
S1B,51.33808,16.86298,12
S1B,51.33825,16.86215,13
S1B,51.33828,16.86201,14
S1B,51.33832,16.86175,15
S1B,51.33832,16.86173,16
S1B,51.33832,16.86172,17
S1B,51.33834,16.86162,18
S1B,51.33836,16.86138,19
S1B,51.33838,16.86117,20
S1B,51.33838,16.86102,21
S1B,51.33838,16.86097,22
S1B,51.33838,16.86055,23
S1B,51.33836,16.8602,24
S1B,51.33835,16.86015,25
S1B,51.33837,16.85972,26
S1B,51.33837,16.85969,27
S1B,51.33838,16.85963,28
S1B,51.33841,16.85925,29
S1B,51.33842,16.85917,30
S1B,51.33844,16.85901,31
S1B,51.33847,16.85884,32
S1B,51.33847,16.85882,33
S1B,51.33849,16.85873,34
S1B,51.33854,16.85861,35
S1B,51.33876,16.85807,36
S1B,51.33886,16.85784,37
S1B,51.33927,16.8569,38
S1B,51.33947,16.85645,39
S1B,51.33952,16.85632,40
S1B,51.33956,16.85619,41
S1B,51.33957,16.85616,42
S1B,51.33958,16.85608,43
S1B,51.33961,16.85591,44
S1B,51.33963,16.8557,45
S1B,51.33964,16.85536,46
S1B,51.33965,16.85506,47
S1B,51.33966,16.85494,48
S1B,51.33967,16.85473,49
S1B,51.33968,16.8546,50
S1B,51.33972,16.8544,51
S1B,51.33976,16.85423,52
S1B,51.33981,16.85407,53
S1B,51.33988,16.85373,54
S1B,51.33995,16.85341,55
S1B,51.34,16.85315,56
S1B,51.34006,16.85286,57
S1B,51.3401,16.8527,58
S1B,51.34008,16.85262,59
S1B,51.34015,16.85228,60
S1B,51.34026,16.85181,61
S1B,51.34027,16.85174,62
S1B,51.3403,16.8516,63
S1B,51.34044,16.85093,64
S1B,51.34064,16.85015,65
S1B,51.34069,16.84999,66
S1B,51.34088,16.84944,67
S1B,51.34104,16.84866,68
S1B,51.34111,16.84846,69
S1B,51.34116,16.84834,70
S1B,51.34119,16.84824,71
S1B,51.34122,16.84815,72
S1B,51.34128,16.84801,73
S1B,51.34139,16.84793,74
S1B,51.34155,16.84778,75
S1B,51.34193,16.84741,76
S1B,51.34199,16.84734,77
S1B,51.34206,16.84727,78
S1B,51.34211,16.84721,79
S1B,51.34215,16.84716,80
S1B,51.34216,16.84714,81
S1B,51.34217,16.84712,82
S1B,51.34218,16.84708,83
S1B,51.34218,16.84697,84
S1B,51.34221,16.84668,85
S1B,51.34222,16.84663,86
S1B,51.34224,16.84658,87
S1B,51.34227,16.84652,88
S1B,51.34229,16.8465,89
S1B,51.3423,16.84648,90
S1B,51.34233,16.84645,91
S1B,51.34235,16.84644,92
S1B,51.34239,16.84642,93
S1B,51.34246,16.846,94
S1B,51.34248,16.84581,95
S1B,51.3425,16.84567,96
S1B,51.3425,16.84531,97
S1B,51.34251,16.84517,98
S1B,51.34256,16.84481,99
S1B,51.34264,16.84429,100
S1B,51.34267,16.84413,101
S1B,51.3427,16.8439,102
S1B,51.34272,16.8437,103
S1B,51.34274,16.84321,104
S1B,51.34275,16.84285,105
S1B,51.34276,16.84283,106
S1B,51.34279,16.84194,107
S1B,51.3428,16.84185,108
S1B,51.34282,16.84122,109
S1B,51.34285,16.84033,110
S1B,51.34287,16.83995,111
S1B,51.34288,16.8398,112
S1B,51.34288,16.83974,113
S1B,51.34288,16.8397,114
S1B,51.34286,16.83957,115
S1B,51.34282,16.83933,116
S1B,51.34278,16.83914,117
S1B,51.34271,16.83889,118
S1B,51.34269,16.8388,119
S1B,51.34265,16.83864,120
S1B,51.34262,16.83855,121
S1B,51.34257,16.83838,122
S1B,51.34255,16.83832,123
S1B,51.34255,16.83831,124
S1B,51.34232,16.83762,125
S1B,51.34229,16.83753,126
S1B,51.34227,16.83748,127
S1B,51.34223,16.83736,128
S1B,51.3422,16.83726,129
S1B,51.34204,16.83681,130
S1B,51.34187,16.83638,131
S1B,51.34163,16.83586,132
S1B,51.34161,16.83582,133
S1B,51.34133,16.83519,134
S1B,51.3412,16.83493,135
S1B,51.34116,16.83485,136
S1B,51.34099,16.83449,137
S1B,51.34091,16.83427,138
S1B,51.34086,16.83413,139
S1B,51.34082,16.83401,140
S1B,51.34077,16.83387,141
S1B,51.34076,16.83378,142
S1B,51.34076,16.83367,143
S1B,51.34077,16.83354,144
S1B,51.34079,16.83337,145
S1B,51.3408,16.83332,146
S1B,51.34083,16.83308,147
S1B,51.34086,16.83289,148
S1B,51.34086,16.83283,149
S1B,51.34087,16.83273,150
S1B,51.34087,16.83255,151
S1B,51.34085,16.83234,152
S1B,51.34085,16.83232,153
S1B,51.34083,16.83211,154
S1B,51.34083,16.83206,155
S1B,51.34079,16.83152,156
S1B,51.34076,16.83121,157
S1B,51.34075,16.8311,158
S1B,51.34072,16.83068,159
S1B,51.34068,16.83019,160
S1B,51.34068,16.83014,161
S1B,51.34066,16.82991,162
S1B,51.34063,16.82975,163
S1B,51.3406,16.82949,164
S1B,51.34046,16.8287,165
S1B,51.34036,16.82815,166
S1B,51.34031,16.82792,167
S1B,51.34014,16.82736,168
S1B,51.33985,16.8264,169
S1B,51.33962,16.82564,170
S1B,51.33942,16.82504,171
S1B,51.33929,16.82463,172
S1B,51.33922,16.82439,173
S1B,51.33897,16.82343,174
S1B,51.33888,16.82311,175
S1B,51.33876,16.82257,176
S1B,51.33856,16.82166,177
S1B,51.3385,16.82137,178
S1B,51.33844,16.82102,179
S1B,51.33843,16.82099,180
S1B,51.3383,16.82002,181
S1B,51.33825,16.81948,182
S1B,51.33823,16.81912,183
S1B,51.33822,16.81898,184
S1B,51.33821,16.81872,185
S1B,51.3382,16.81869,186
S1B,51.3382,16.81862,187
S1B,51.33819,16.8184,188
S1B,51.33819,16.81832,189
S1B,51.33814,16.81729,190
S1B,51.33812,16.81701,191
S1B,51.3381,16.81674,192
S1B,51.33804,16.81632,193
S1B,51.338,16.81611,194
S1B,51.33798,16.81598,195
S1B,51.33795,16.81589,196
S1B,51.33788,16.81567,197
S1B,51.33787,16.81563,198
S1B,51.33783,16.8155,199
S1B,51.33778,16.81527,200
S1B,51.33776,16.81516,201
S1B,51.33771,16.81472,202
S1B,51.33776,16.81516,203
S1B,51.33778,16.81527,204
S1B,51.33783,16.8155,205
S1B,51.33787,16.81563,206
S1B,51.33788,16.81567,207
S1B,51.33795,16.81589,208
S1B,51.33798,16.81598,209
S1B,51.338,16.81611,210
S1B,51.33804,16.81632,211
S1B,51.3381,16.81674,212
S1B,51.33812,16.81701,213
S1B,51.33814,16.81729,214
S1B,51.33819,16.81832,215
S1B,51.33819,16.8184,216
S1B,51.3382,16.81862,217
S1B,51.3382,16.81869,218
S1B,51.33821,16.81872,219
S1B,51.33822,16.81898,220
S1B,51.33823,16.81912,221
S1B,51.33825,16.81948,222
S1B,51.3383,16.82002,223
S1B,51.33843,16.82099,224
S1B,51.33844,16.82102,225
S1B,51.3385,16.82137,226
S1B,51.33856,16.82166,227
S1B,51.33876,16.82257,228
S1B,51.33888,16.82311,229
S1B,51.33897,16.82343,230
S1B,51.33922,16.82439,231
S1B,51.33929,16.82463,232
S1B,51.33942,16.82504,233
S1B,51.33962,16.82564,234
S1B,51.33985,16.8264,235
S1B,51.34014,16.82736,236
S1B,51.34031,16.82792,237
S1B,51.34036,16.82815,238
S1B,51.34046,16.8287,239
S1B,51.3406,16.82949,240
S1B,51.34063,16.82975,241
S1B,51.34066,16.82991,242
S1B,51.34068,16.83014,243
S1B,51.34068,16.83019,244
S1B,51.34072,16.83068,245
S1B,51.34075,16.8311,246
S1B,51.34076,16.83121,247
S1B,51.34079,16.83152,248
S1B,51.34083,16.83206,249
S1B,51.34083,16.83211,250
S1B,51.34085,16.83232,251
S1B,51.34085,16.83234,252
S1B,51.34087,16.83255,253
S1B,51.34087,16.83273,254
S1B,51.34086,16.83283,255
S1B,51.34086,16.83289,256
S1B,51.34083,16.83308,257
S1B,51.3408,16.83332,258
S1B,51.34079,16.83337,259
S1B,51.34077,16.83354,260
S1B,51.34076,16.83367,261
S1B,51.34076,16.83378,262
S1B,51.34077,16.83387,263
S1B,51.34082,16.83401,264
S1B,51.34086,16.83413,265
S1B,51.34091,16.83427,266
S1B,51.34099,16.83449,267
S1B,51.34116,16.83485,268
S1B,51.3412,16.83493,269
S1B,51.34133,16.83519,270
S1B,51.34161,16.83582,271
S1B,51.34163,16.83586,272
S1B,51.34187,16.83638,273
S1B,51.34204,16.83681,274
S1B,51.3422,16.83726,275
S1B,51.34223,16.83736,276
S1B,51.34227,16.83748,277
S1B,51.34229,16.83753,278
S1B,51.34232,16.83762,279
S1B,51.34255,16.83831,280
S1B,51.34255,16.83832,281
S1B,51.34257,16.83838,282
S1B,51.34262,16.83855,283
S1B,51.34265,16.83864,284
S1B,51.34269,16.8388,285
S1B,51.34271,16.83889,286
S1B,51.34278,16.83914,287
S1B,51.34282,16.83933,288
S1B,51.34286,16.83957,289
S1B,51.34288,16.8397,290
S1B,51.34288,16.83974,291
S1B,51.34288,16.8398,292
S1B,51.34287,16.83995,293
S1B,51.34285,16.84033,294
S1B,51.34282,16.84122,295
S1B,51.3428,16.84185,296
S1B,51.34279,16.84194,297
S1B,51.34276,16.84283,298
S1B,51.34275,16.84285,299
S1B,51.34274,16.84321,300
S1B,51.34272,16.8437,301
S1B,51.3427,16.8439,302
S1B,51.34267,16.84413,303
S1B,51.34264,16.84429,304
S1B,51.34256,16.84481,305
S1B,51.34251,16.84517,306
S1B,51.3425,16.84531,307
S1B,51.3425,16.84567,308
S1B,51.34248,16.84581,309
S1B,51.34246,16.846,310
S1B,51.34239,16.84642,311
S1B,51.34235,16.84644,312
S1B,51.34233,16.84645,313
S1B,51.3423,16.84648,314
S1B,51.34229,16.8465,315
S1B,51.34227,16.84652,316
S1B,51.34224,16.84658,317
S1B,51.34222,16.84663,318
S1B,51.34221,16.84668,319
S1B,51.34218,16.84697,320
S1B,51.34218,16.84708,321
S1B,51.34217,16.84712,322
S1B,51.34216,16.84714,323
S1B,51.34215,16.84716,324
S1B,51.34211,16.84721,325
S1B,51.34206,16.84727,326
S1B,51.34199,16.84734,327
S1B,51.34193,16.84741,328
S1B,51.34155,16.84778,329
S1B,51.34139,16.84793,330
S1B,51.34128,16.84801,331
S1B,51.34115,16.84797,332
S1B,51.34108,16.84795,333
S1B,51.341,16.84792,334
S1B,51.34091,16.84788,335
S1B,51.34079,16.84783,336
S1B,51.34068,16.84778,337
S1B,51.34059,16.84773,338
S1B,51.34047,16.84769,339
S1B,51.34029,16.84762,340
S1B,51.33988,16.84748,341
S1B,51.33963,16.84743,342
S1B,51.33946,16.84744,343
S1B,51.33936,16.84745,344
S1B,51.33925,16.84746,345
S1B,51.33918,16.84747,346
S1B,51.33904,16.8475,347
S1B,51.33886,16.84755,348
S1B,51.33884,16.84755,349
S1B,51.3386,16.8476,350
S1B,51.33822,16.84763,351
S1B,51.33732,16.8478,352
S1B,51.33729,16.8478,353
S1B,51.33715,16.84782,354
S1B,51.33715,16.84783,355
S1B,51.33711,16.84783,356
S1B,51.33697,16.84785,357
S1B,51.33675,16.84789,358
S1B,51.3367,16.84789,359
S1B,51.33636,16.84795,360
S1B,51.33635,16.84795,361
S1B,51.33622,16.84796,362
S1B,51.33607,16.84797,363
S1B,51.33604,16.84797,364
S1B,51.33589,16.84798,365
S1B,51.33586,16.84798,366
S1B,51.33571,16.848,367
S1B,51.33479,16.84807,368
S1B,51.33461,16.84808,369
S1B,51.33444,16.8481,370
S1B,51.33426,16.84811,371
S1B,51.33419,16.84811,372
S1B,51.33408,16.84812,373
S1B,51.3339,16.84814,374
S1B,51.33358,16.84816,375
S1B,51.33352,16.84816,376
S1B,51.33343,16.84817,377
S1B,51.33331,16.84819,378
S1B,51.33315,16.84824,379
S1B,51.33304,16.84829,380
S1B,51.33291,16.84838,381
S1B,51.33289,16.84839,382
S1B,51.33282,16.84844,383
S1B,51.33274,16.8485,384
S1B,51.33272,16.84852,385
S1B,51.3327,16.84854,386
S1B,51.33263,16.84862,387
S1B,51.33259,16.84866,388
S1B,51.33258,16.84868,389
S1B,51.33245,16.84884,390
S1B,51.33243,16.84886,391
S1B,51.33232,16.849,392
S1B,51.33196,16.84942,393
S1B,51.3316,16.84987,394
S1B,51.33143,16.85008,395
S1B,51.33133,16.85021,396
S1B,51.33113,16.85043,397
S1B,51.33102,16.85056,398
S1B,51.33069,16.85087,399
S1B,51.33059,16.85098,400
S1B,51.33025,16.85138,401
S1B,51.33011,16.85155,402
S1B,51.32955,16.85224,403
S1B,51.32948,16.85233,404
S1B,51.32944,16.85237,405
S1B,51.32911,16.85278,406
S1B,51.32855,16.85347,407
S1B,51.32845,16.8536,408
S1B,51.32838,16.85367,409
S1B,51.32833,16.85371,410
S1B,51.32826,16.85377,411
S1B,51.3282,16.85379,412
S1B,51.32814,16.85381,413
S1B,51.32801,16.85385,414
S1B,51.32791,16.85387,415
S1B,51.32779,16.85391,416
S1B,51.32774,16.85394,417
S1B,51.32768,16.85398,418
S1B,51.32763,16.85402,419
S1B,51.32742,16.85421,420
S1B,51.32721,16.85439,421
S1B,51.32702,16.85455,422
S1B,51.32689,16.85466,423
S1B,51.32668,16.85478,424
S1B,51.32659,16.85483,425
S1B,51.32655,16.85485,426
S1B,51.32651,16.85489,427
S1B,51.3265,16.8549,428
S1B,51.32628,16.85523,429
S1B,51.32616,16.85537,430
S1B,51.32604,16.85547,431
S1B,51.3259,16.85554,432
S1B,51.32583,16.85555,433
S1B,51.32571,16.85558,434
S1B,51.32545,16.85563,435
S1B,51.32518,16.85569,436
S1B,51.32495,16.85574,437
S1B,51.32478,16.85573,438
S1B,51.32459,16.85568,439
S1B,51.32458,16.85568,440
S1B,51.32431,16.85561,441
S1B,51.32408,16.85554,442
S1B,51.32394,16.8555,443
S1B,51.32387,16.85548,444
S1B,51.32375,16.85544,445
S1B,51.32353,16.85532,446
S1B,51.32323,16.85517,447
S1B,51.3229,16.85502,448
S1B,51.32254,16.85484,449
S1B,51.32208,16.85462,450
S1B,51.32188,16.8545,451
S1B,51.32144,16.8543,452
S1B,51.32124,16.85419,453
S1B,51.32106,16.85409,454
S1B,51.32072,16.85383,455
S1B,51.32024,16.85353,456
S1B,51.32016,16.85347,457
S1B,51.32009,16.85341,458
S1B,51.32003,16.85335,459
S1B,51.32002,16.85334,460
S1B,51.31997,16.85326,461
S1B,51.31996,16.85321,462
S1B,51.31993,16.85316,463
S1B,51.31987,16.85301,464
