trip_id,stop_sequence,stop_id,arrival_time,departure_time
T2_4,9,101-01,11:38:00,11:38:00
T2_5,0,101-02,12:45:00,12:45:00
T2_5,1,100-01,12:46:00,12:46:00
T2_5,2,117-01,12:48:00,12:48:00
T2_5,3,118-01,12:49:00,12:49:00
T2_5,4,120-01,12:50:00,12:50:00
T2_5,5,121-01,12:52:00,12:52:00
T2_5,6,119-01,12:54:00,12:54:00
T2_5,7,117-02,12:55:00,12:55:00
T2_5,8,100-01,12:59:00,12:59:00
T2_5,9,101-01,13:03:00,13:03:00
T2_6,0,101-01,13:40:00,13:40:00
T2_6,1,106-01,13:41:00,13:41:00
T2_6,2,112-01,13:42:00,13:42:00
T2_6,3,113-01,13:44:00,13:44:00
T2_6,4,116-01,13:46:00,13:46:00
T2_6,5,115-01,13:47:00,13:47:00
T2_6,6,114-01,13:48:00,13:48:00
T2_6,7,100-01,13:50:00,13:50:00
T2_6,8,101-01,13:51:00,13:51:00
T2_6,9,101-02,13:52:00,13:52:00
T2_6,10,100-01,13:53:00,13:53:00
T2_6,11,117-01,13:55:00,13:55:00
T2_6,12,118-01,13:56:00,13:56:00
T2_6,13,120-01,13:57:00,13:57:00
T2_6,14,121-01,13:59:00,13:59:00
T2_6,15,119-01,14:01:00,14:01:00
T2_6,16,117-02,14:02:00,14:02:00
T2_6,17,100-01,14:06:00,14:06:00
T2_7,0,100-01,14:40:00,14:40:00
T2_7,1,101-01,14:41:00,14:41:00
T2_7,2,102-01,14:44:00,14:44:00
T2_7,3,101-02,14:48:00,14:48:00
T2_7,4,100-01,14:49:00,14:49:00
T2_7,5,117-01,14:51:00,14:51:00
T2_7,6,118-01,14:52:00,14:52:00
T2_7,7,120-01,14:53:00,14:53:00
T2_7,8,121-01,14:55:00,14:55:00
T2_7,9,119-01,14:57:00,14:57:00
T2_7,10,117-02,14:58:00,14:58:00
T2_7,11,114-02,14:59:00,14:59:00
T2_7,12,115-02,15:00:00,15:00:00
T2_7,13,115-01,15:01:00,15:01:00
T2_7,14,114-01,15:02:00,15:02:00
T2_7,15,100-01,15:06:00,15:06:00
T2_8,0,100-01,15:35:00,15:35:00
T2_8,1,101-01,15:36:00,15:36:00
T2_8,2,102-01,15:39:00,15:39:00
T2_8,3,101-02,15:43:00,15:43:00
T2_8,4,100-01,15:44:00,15:44:00
T2_8,5,117-01,15:46:00,15:46:00
T2_8,6,118-01,15:47:00,15:47:00
T2_8,7,120-01,15:48:00,15:48:00
T2_8,8,121-01,15:50:00,15:50:00
T2_8,9,119-01,15:52:00,15:52:00
T2_8,10,117-02,15:53:00,15:53:00
T2_8,11,114-02,15:54:00,15:54:00
T2_8,12,115-02,15:55:00,15:55:00
T2_8,13,115-01,15:56:00,15:56:00
T2_8,14,114-01,15:57:00,15:57:00
T2_8,15,100-01,16:01:00,16:01:00
